Model_ID,Title,Sef_Url,Meta_Title,Meta_Keywords,Meta_Description,Meta_Canonical_URL
170,"Sony Xperia Z2 Compact (A2) Repair",sony-xperia-z-series-repair,"Sony Xperia Z2 Compact (A2) Repair","Sony Xperia Z2 Compact (A2) Repair","Sony Xperia Z2 Compact (A2) Repair",
171,"Sony Xperia XA Repair",sony-xperia-repair,"Sony Xperia XA Repair","Sony Xperia XA Repair","Sony Xperia XA Repair",
172,"Sony Xperia Z3 Repair",sony-xperia-z-series-repair,"Sony Xperia Z3 Repair","Sony Xperia Z3 Repair","Sony Xperia Z3 Repair",
173,"Sony Xperia Z1 Compact Repair",sony-xperia-z-series-repair,"Sony Xperia Z1 Compact Repair","Sony Xperia Z1 Compact Repair","Sony Xperia Z1 Compact Repair",
174,"Sony Xperia Z5 Repair",sony-xperia-z-series-repair,"Sony Xperia Z5 Repair","Sony Xperia Z5 Repair","Sony Xperia Z5 Repair",
175,"Sony Xperia Z2 Repair",sony-xperia-z-series-repair,"Sony Xperia Z2 Repair","Sony Xperia Z2 Repair","Sony Xperia Z2 Repair",
176,"Sony Xperia Z5 Compact Repair",sony-xperia-z-series-repair,"Sony Xperia Z5 Compact Repair","Sony Xperia Z5 Compact Repair","Sony Xperia Z5 Compact Repair",
177,"Sony Xperia Z5 Premium Repair",sony-xperia-z-series-repair,"Sony Xperia Z5 Premium Repair","Sony Xperia Z5 Premium Repair","Sony Xperia Z5 Premium Repair",
178,"Sony Xperia Z3 Compact Repair",sony-xperia-z-series-repair,"Sony Xperia Z3 Compact Repair","Sony Xperia Z3 Compact Repair","Sony Xperia Z3 Compact Repair",
179,"Sony Xperia Z3+ Repair",sony-xperia-z-series-repair,"Sony Xperia Z3+ Repair","Sony Xperia Z3+ Repair","Sony Xperia Z3+ Repair",
180,"iPhone SE Repair",iphone-repairs,"iPhone SE Repair","iPhone SE Repair","iPhone SE Repair",
181,"iPhone 6S Plus Repair",iphone-repairs,"iPhone 6S Plus Repair","iPhone 6S Plus Repair","iPhone 6S Plus Repair",
182,"iPhone 7 Repair",iphone-repairs,"iPhone 7 Repair","iPhone 7 Repair","iPhone 7 Repair",
183,"iPhone 7 Plus Repair",iphone-repairs,"iPhone 7 Plus Repair","iPhone 7 Plus Repair","iPhone 7 Plus Repair",
184,"iPhone XS Repair",iphone-repairs,"iPhone XS Repair","iPhone XS Repair","iPhone XS Repair",
185,"iPhone XS Max Repair",iphone-repairs,"iPhone XS Max Repair","iPhone XS Max Repair","iPhone XS Max Repair",
186,"iPhone 11 Pro Max Repair",iphone-repairs,"iPhone 11 Pro Max Repair","iPhone 11 Pro Max Repair","iPhone 11 Pro Max Repair",
187,"iPhone X Repair",iphone-repairs,"iPhone X Repair","iPhone X Repair","iPhone X Repair",
188,"iPhone 8 Repair",iphone-repairs,"iPhone 8 Repair","iPhone 8 Repair","iPhone 8 Repair",
189,"iPhone XR Repair",iphone-repairs,"iPhone XR Repair","iPhone XR Repair","iPhone XR Repair",
190,"iPhone 8 Plus Repair",iphone-repairs,"iPhone 8 Plus Repair","iPhone 8 Plus Repair","iPhone 8 Plus Repair",
191,"Google Nexus 7 (2nd Generation) Repair",,"Google Nexus 7 (2nd Generation) Repair","Google Nexus 7 (2nd Generation) Repair","Google Nexus 7 (2nd Generation) Repair",
192,"Google Nexus 10 Repair",,"Google Nexus 10 Repair","Google Nexus 10 Repair","Google Nexus 10 Repair",
193,"Google Nexus 4 Repair",,"Google Nexus 4 Repair","Google Nexus 4 Repair","Google Nexus 4 Repair",
194,"Google Nexus 7 (1st Generation) Repair",,"Google Nexus 7 (1st Generation) Repair","Google Nexus 7 (1st Generation) Repair","Google Nexus 7 (1st Generation) Repair",
195,"All Other Models",,"All Other Models","All Other Models","All Other Models",
196,"LG Nexus 5X Repair",,"LG Nexus 5X Repair","LG Nexus 5X Repair","LG Nexus 5X Repair",
197,"Huawei Mate 9 Repair",,"Huawei Mate 9 Repair","Huawei Mate 9 Repair","Huawei Mate 9 Repair",
198,"Huawei Nexus 6P Repair",,"Huawei Nexus 6P Repair","Huawei Nexus 6P Repair","Huawei Nexus 6P Repair",
199,"Google Nexus 6 Repair",,"Google Nexus 6 Repair","Google Nexus 6 Repair","Google Nexus 6 Repair",
200,"OnePlus 8 Repair",,"OnePlus 8 Repair","OnePlus 8 Repair","OnePlus 8 Repair",
201,"Google Nexus 5 Repair",,"Google Nexus 5 Repair","Google Nexus 5 Repair","Google Nexus 5 Repair",
202,"Moto Z4 Repair",,"Moto Z4 Repair","Moto Z4 Repair","Moto Z4 Repair",
203,"Huawei Honor 10 Repair",,"Huawei Honor 10 Repair","Huawei Honor 10 Repair","Huawei Honor 10 Repair",
204,"Microsoft Lumia 435 Repair",,"Microsoft Lumia 435 Repair","Microsoft Lumia 435 Repair","Microsoft Lumia 435 Repair",
205,"Microsoft Lumia 535 Repair",,"Microsoft Lumia 535 Repair","Microsoft Lumia 535 Repair","Microsoft Lumia 535 Repair",
206,"LG G7 ThinQ Repair",,"LG G7 ThinQ Repair","LG G7 ThinQ Repair","LG G7 ThinQ Repair",
207,"LG G5 Repair",,"LG G5 Repair","LG G5 Repair","LG G5 Repair",
208,"LG G3 Repair",,"LG G3 Repair","LG G3 Repair","LG G3 Repair",
209,"LG G8s ThinQ Repairs",,"LG G8s ThinQ Repairs","LG G8s ThinQ Repairs","LG G8s ThinQ Repairs",
210,"LG G8 ThinQ Repairs",,"LG G8 ThinQ Repairs","LG G8 ThinQ Repairs","LG G8 ThinQ Repairs",
211,"LG G4 Repair",,"LG G4 Repair","LG G4 Repair","LG G4 Repair",
212,"LG K40 Repairs",,"LG K40 Repairs","LG K40 Repairs","LG K40 Repairs",
213,"LG K10 2018 Repair",,"LG K10 2018 Repair","LG K10 2018 Repair","LG K10 2018 Repair",
214,"LG V30 Repairs",,"LG V30 Repairs","LG V30 Repairs","LG V30 Repairs",
215,"LG Q6 Repair",,"LG Q6 Repair","LG Q6 Repair","LG Q6 Repair",
216,"LG V10 Repairs",,"LG V10 Repairs","LG V10 Repairs","LG V10 Repairs",
217,"LG V20 Repairs",,"LG V20 Repairs","LG V20 Repairs","LG V20 Repairs",
218,"LG G6 Repairs",,"LG G6 Repairs","LG G6 Repairs","LG G6 Repairs",
219,"Xiaomi Mi 8 Lite Repair",,"Xiaomi Mi 8 Lite Repair","Xiaomi Mi 8 Lite Repair","Xiaomi Mi 8 Lite Repair",
220,"Xiaomi Mi Max 3 Repair",,"Xiaomi Mi Max 3 Repair","Xiaomi Mi Max 3 Repair","Xiaomi Mi Max 3 Repair",
221,"Xiaomi Mi A2 Lite Repair",,"Xiaomi Mi A2 Lite Repair","Xiaomi Mi A2 Lite Repair","Xiaomi Mi A2 Lite Repair",
222,"Xiaomi Mi A2 Repair",,"Xiaomi Mi A2 Repair","Xiaomi Mi A2 Repair","Xiaomi Mi A2 Repair",
223,"Xiaomi Redmi 3S Repair",,"Xiaomi Redmi 3S Repair","Xiaomi Redmi 3S Repair","Xiaomi Redmi 3S Repair",
224,"Xiaomi Pocophone F1 Repair",,"Xiaomi Pocophone F1 Repair","Xiaomi Pocophone F1 Repair","Xiaomi Pocophone F1 Repair",
225,"Xiaomi Mi Play Repair",,"Xiaomi Mi Play Repair","Xiaomi Mi Play Repair","Xiaomi Mi Play Repair",
226,"Xiaomi Mi Mix 3 Repair",,"Xiaomi Mi Mix 3 Repair","Xiaomi Mi Mix 3 Repair","Xiaomi Mi Mix 3 Repair",
227,"Xiaomi Redmi 7 Repairs",,"Xiaomi Redmi 7 Repairs","Xiaomi Redmi 7 Repairs","Xiaomi Redmi 7 Repairs",
228,"Xiaomi RedMi 6A Repair",,"Xiaomi RedMi 6A Repair","Xiaomi RedMi 6A Repair","Xiaomi RedMi 6A Repair",
229,"Xiaomi Redmi Note 4 Repair",,"Xiaomi Redmi Note 4 Repair","Xiaomi Redmi Note 4 Repair","Xiaomi Redmi Note 4 Repair",
230,"Xiaomi Redmi Note 3 Repair",,"Xiaomi Redmi Note 3 Repair","Xiaomi Redmi Note 3 Repair","Xiaomi Redmi Note 3 Repair",
231,"Microsoft Lumia 640XL Repair",,"Microsoft Lumia 640XL Repair","Microsoft Lumia 640XL Repair","Microsoft Lumia 640XL Repair",
232,"Xiaomi Redmi Note 7 Pro Repairs",,"Xiaomi Redmi Note 7 Pro Repairs","Xiaomi Redmi Note 7 Pro Repairs","Xiaomi Redmi Note 7 Pro Repairs",
233,"Microsoft Lumia 650 Repair",,"Microsoft Lumia 650 Repair","Microsoft Lumia 650 Repair","Microsoft Lumia 650 Repair",
234,"Microsoft Lumia 640 Repair",,"Microsoft Lumia 640 Repair","Microsoft Lumia 640 Repair","Microsoft Lumia 640 Repair",
235,"Xiaomi Redmi Note 5 Pro Repairs",,"Xiaomi Redmi Note 5 Pro Repairs","Xiaomi Redmi Note 5 Pro Repairs","Xiaomi Redmi Note 5 Pro Repairs",
236,"Microsoft Lumia 550 Repair",,"Microsoft Lumia 550 Repair","Microsoft Lumia 550 Repair","Microsoft Lumia 550 Repair",
237,"Microsoft Lumia 950 Repair",,"Microsoft Lumia 950 Repair","Microsoft Lumia 950 Repair","Microsoft Lumia 950 Repair",
238,"Microsoft 650XL Repairs",,"Microsoft 650XL Repairs","Microsoft 650XL Repairs","Microsoft 650XL Repairs",
239,"OnePlus 6 Repairs",,"OnePlus 6 Repairs","OnePlus 6 Repairs","OnePlus 6 Repairs",
240,"OnePlus 6T McLaren Repair",,"OnePlus 6T McLaren Repair","OnePlus 6T McLaren Repair","OnePlus 6T McLaren Repair",
241,"OnePlus 6T Repair",,"OnePlus 6T Repair","OnePlus 6T Repair","OnePlus 6T Repair",
242,"OnePlus 7 Repair",,"OnePlus 7 Repair","OnePlus 7 Repair","OnePlus 7 Repair",
243,"OnePlus 7 Pro 5G Repair",,"OnePlus 7 Pro 5G Repair","OnePlus 7 Pro 5G Repair","OnePlus 7 Pro 5G Repair",
244,"Microsoft Lumia 950 XL Repair",,"Microsoft Lumia 950 XL Repair","Microsoft Lumia 950 XL Repair","Microsoft Lumia 950 XL Repair",
245,"OnePlus 7T Pro Repair",,"OnePlus 7T Pro Repair","OnePlus 7T Pro Repair","OnePlus 7T Pro Repair",
246,"OnePlus 5T Repair",,"OnePlus 5T Repair","OnePlus 5T Repair","OnePlus 5T Repair",
247,"OnePlus 5 Repairs",,"OnePlus 5 Repairs","OnePlus 5 Repairs","OnePlus 5 Repairs",
248,"OnePlus X Repair",,"OnePlus X Repair","OnePlus X Repair","OnePlus X Repair",
249,"OnePlus 3 Repair",,"OnePlus 3 Repair","OnePlus 3 Repair","OnePlus 3 Repair",
250,"Nokia 8 Repairs",,"Nokia 8 Repairs","Nokia 8 Repairs","Nokia 8 Repairs",
251,"Nokia 7.1 Repair",,"Nokia 7.1 Repair","Nokia 7.1 Repair","Nokia 7.1 Repair",
252,"Nokia 9 Pureview Repair",,"Nokia 9 Pureview Repair","Nokia 9 Pureview Repair","Nokia 9 Pureview Repair",
253,"Nokia 8.1 Repair",,"Nokia 8.1 Repair","Nokia 8.1 Repair","Nokia 8.1 Repair",
254,"OnePlus 2 Repair",,"OnePlus 2 Repair","OnePlus 2 Repair","OnePlus 2 Repair",
255,"Nokia X71 Repair",,"Nokia X71 Repair","Nokia X71 Repair","Nokia X71 Repair",
256,"OnePlus One Repair",,"OnePlus One Repair","OnePlus One Repair","OnePlus One Repair",
257,"OnePlus 3T Repair",,"OnePlus 3T Repair","OnePlus 3T Repair","OnePlus 3T Repair",
258,"Nokia 6.1 Plus Repair",,"Nokia 6.1 Plus Repair","Nokia 6.1 Plus Repair","Nokia 6.1 Plus Repair",
259,"Nokia 7 Plus Repair",,"Nokia 7 Plus Repair","Nokia 7 Plus Repair","Nokia 7 Plus Repair",
260,"Nokia 3.2 Repair",,"Nokia 3.2 Repair","Nokia 3.2 Repair","Nokia 3.2 Repair",
261,"Nokia 6.1 Repair",,"Nokia 6.1 Repair","Nokia 6.1 Repair","Nokia 6.1 Repair",
262,"Nokia 3.1 Plus Repair",,"Nokia 3.1 Plus Repair","Nokia 3.1 Plus Repair","Nokia 3.1 Plus Repair",
263,"Nokia 1 Plus Repair",,"Nokia 1 Plus Repair","Nokia 1 Plus Repair","Nokia 1 Plus Repair",
264,"Nokia 4.2 Repair",,"Nokia 4.2 Repair","Nokia 4.2 Repair","Nokia 4.2 Repair",
265,"Nokia 6 (2018) Repairs",,"Nokia 6 (2018) Repairs","Nokia 6 (2018) Repairs","Nokia 6 (2018) Repairs",
266,"Moto E5 Plus Repair",,"Moto E5 Plus Repair","Moto E5 Plus Repair","Moto E5 Plus Repair",
267,"Nokia 5.1 Plus Repair",,"Nokia 5.1 Plus Repair","Nokia 5.1 Plus Repair","Nokia 5.1 Plus Repair",
268,"Moto G6 Play Repair",,"Moto G6 Play Repair","Moto G6 Play Repair","Moto G6 Play Repair",
269,"Motorola Moto G4 Plus Repair",,"Motorola Moto G4 Plus Repair","Motorola Moto G4 Plus Repair","Motorola Moto G4 Plus Repair",
270,"Moto G7 Repair",,"Moto G7 Repair","Moto G7 Repair","Moto G7 Repair",
271,"Moto G7 Power Repair",,"Moto G7 Power Repair","Moto G7 Power Repair","Moto G7 Power Repair",
272,"Moto G6 Repair",,"Moto G6 Repair","Moto G6 Repair","Moto G6 Repair",
273,"Moto G6 Plus Repair",,"Moto G6 Plus Repair","Moto G6 Plus Repair","Moto G6 Plus Repair",
274,"Moto G7 Play Repair",,"Moto G7 Play Repair","Moto G7 Play Repair","Moto G7 Play Repair",
275,"Moto G7 Plus Repair",,"Moto G7 Plus Repair","Moto G7 Plus Repair","Moto G7 Plus Repair",
276,"Moto One Power (P30 Note) Repair",,"Moto One Power (P30 Note) Repair","Moto One Power (P30 Note) Repair","Moto One Power (P30 Note) Repair",
277,"Moto Z3 Play Repair",,"Moto Z3 Play Repair","Moto Z3 Play Repair","Moto Z3 Play Repair",
278,"Moto One (P30 Play) Repair",,"Moto One (P30 Play) Repair","Moto One (P30 Play) Repair","Moto One (P30 Play) Repair",
279,"Motorola Moto X4 Repair",,"Motorola Moto X4 Repair","Motorola Moto X4 Repair","Motorola Moto X4 Repair",
280,"Huawei Honor 7X Repairs",,"Huawei Honor 7X Repairs","Huawei Honor 7X Repairs","Huawei Honor 7X Repairs",
281,"Huawei Honor 7S Repairs",,"Huawei Honor 7S Repairs","Huawei Honor 7S Repairs","Huawei Honor 7S Repairs",
282,"Huawei Honor Play Repair",,"Huawei Honor Play Repair","Huawei Honor Play Repair","Huawei Honor Play Repair",
283,"Huawei Honor 6X Repairs",,"Huawei Honor 6X Repairs","Huawei Honor 6X Repairs","Huawei Honor 6X Repairs",
284,"Huawei Honor 7 Repairs",,"Huawei Honor 7 Repairs","Huawei Honor 7 Repairs","Huawei Honor 7 Repairs",
285,"Huawei Honor 8C Repair",,"Huawei Honor 8C Repair","Huawei Honor 8C Repair","Huawei Honor 8C Repair",
286,"Huawei Honor 8X Repairs",,"Huawei Honor 8X Repairs","Huawei Honor 8X Repairs","Huawei Honor 8X Repairs",
287,"Huawei Honor 8 Repair",,"Huawei Honor 8 Repair","Huawei Honor 8 Repair","Huawei Honor 8 Repair",
288,"Honor 8S Repair",,"Honor 8S Repair","Honor 8S Repair","Honor 8S Repair",
289,"Honor 9X Repair",,"Honor 9X Repair","Honor 9X Repair","Honor 9X Repair",
290,"Huawei Honor 9 Lite Repair",,"Huawei Honor 9 Lite Repair","Huawei Honor 9 Lite Repair","Huawei Honor 9 Lite Repair",
291,"Huawei Honor 10 Lite Repair",,"Huawei Honor 10 Lite Repair","Huawei Honor 10 Lite Repair","Huawei Honor 10 Lite Repair",
292,"Huawei P30 Pro Repair",,"Huawei P30 Pro Repair","Huawei P30 Pro Repair","Huawei P30 Pro Repair",
293,"Huawei Honor 8X Max Repair",,"Huawei Honor 8X Max Repair","Huawei Honor 8X Max Repair","Huawei Honor 8X Max Repair",
294,"Huawei P10 Lite Repairs",,"Huawei P10 Lite Repairs","Huawei P10 Lite Repairs","Huawei P10 Lite Repairs",
295,"Huawei P20 Pro Repairs",,"Huawei P20 Pro Repairs","Huawei P20 Pro Repairs","Huawei P20 Pro Repairs",
296,"Huawei P10 Repairs",,"Huawei P10 Repairs","Huawei P10 Repairs","Huawei P10 Repairs",
297,"Huawei P10 Plus Repairs",,"Huawei P10 Plus Repairs","Huawei P10 Plus Repairs","Huawei P10 Plus Repairs",
298,"Huawei P9 Plus Repair",,"Huawei P9 Plus Repair","Huawei P9 Plus Repair","Huawei P9 Plus Repair",
299,"Huawei P9 Lite Repair",,"Huawei P9 Lite Repair","Huawei P9 Lite Repair","Huawei P9 Lite Repair",
300,"Huawei P9 Repair",,"Huawei P9 Repair","Huawei P9 Repair","Huawei P9 Repair",
301,"Huawei P8 Lite 2017 Repairs",,"Huawei P8 Lite 2017 Repairs","Huawei P8 Lite 2017 Repairs","Huawei P8 Lite 2017 Repairs",
302,"Huawei P8 Repair",,"Huawei P8 Repair","Huawei P8 Repair","Huawei P8 Repair",
303,"Huawei Nova 2 Repair",,"Huawei Nova 2 Repair","Huawei Nova 2 Repair","Huawei Nova 2 Repair",
304,"Huawei P8 Lite Repairs",,"Huawei P8 Lite Repairs","Huawei P8 Lite Repairs","Huawei P8 Lite Repairs",
